uid,昵称,性别,点赞,个人签名,等级,评论内容
498329679,X旧夏入梦X,保密,0,这里是迁年FZ的小号,4,播放量真少
248517534,一只废肉,女,0,救命！人太多了，这辈子都没有被那么多人加过，不发了不发了,5,今天我过生日[大哭][大哭]让我出吧，一百多抽了啊，没有钟离没有菲米尼[大哭][大哭][大哭][大哭][大哭]
61161,鬼神,男,0,,6,死活抽不到，疯狂出女仆，我女仆早就满命了[生气]
158812068,哔伊噢Ooo,保密,0,,5,万叶啥时候复刻呀，想抽万叶！！！！
348027787,江户的berserker,保密,0,"隐藏神谷厨 
还是更喜欢夜神月",5,有人知道下半卡池是什么吗？
507899820,板鸭_hhh,男,0,"单推hanser，哈哈哈嗝，偶尔发一些动漫视频的萌新\(//∇//)\   Hanser直播间在b站啦，大家快去关注她！
",5,https://b23.tv/BV1bu4y1k7Mq 好难打
3546377955052200,叔叔柠檬熟了,保密,1,,2,高等元素反应论之碎冰反应[原神_哇]
397854974,宁夏揽清幽,保密,0,当金色的箭矢划过史诗城的天空，故乡种的玫瑰花已开满你来时的山路，那满山遍野的红，是我对你独有的浪漫,5,161抽一个诺艾尔没捞到，我的旅途已经告终
666715649,归梦煮白石,保密,0,,5,@AI视频小助理 总结一下
409656667,Scarameow_,女,0,怒风腾天,5,根本抽不到[跪了]
37626646,_空想森林,保密,1,在灵魂的漫漫黑夜中，每一天都是凌晨三点,5,我的小企鹅也没送到[未定事件簿_呜呜]
37626646,_空想森林,保密,0,在灵魂的漫漫黑夜中，每一天都是凌晨三点,5,万达国际好难啊老公～
46292530,拉二的火腿肠,男,0,,5,赶紧加班，把mate60适配做出来吧，我希望拿到手机的那一刻，能适配上~
601678274,别养鱼了,保密,0,,5,能不能给手机分辨率优化一下
4448889,伍寒凡,保密,1,,6,270抽 一个菲米尼 浪费两个大保底 以后再也不抽新四星了[无语]
2061329160,bili_85062039077,男,0,,3,官方给我出来
142778428,十里晒太阳,女,0,"世界很烂，但还有luca【yellow heart】
澳洲组yyds",6,wow 好可爱 这么可爱用的是重剑，转圈圈咯~(什)
480903577,洛蕾塔-8,保密,0,"仇忾无涯，征逐无疆，猎君几多愁？
辰矢在弦，金瞳炽焱，帝弓莫回首。",3,[兔年]
28452549,HTD云子,男,2,红红火火恍恍惚惚,6,"今天在公交车上遇到了一个萌新在玩原神，给雷神刷绝缘砍了半个小时结果还死掉了，可是依旧非常认真努力。
然后我坐过站了。
……
但是我记下了他的游戏UID:新人ID191699594如果有人想认识他的话，就快去加他好友，带他刷本刷boss。我真的不忍心看着他一个人闯荡提瓦特大陆"
404176240,里昂199909,保密,1,喜欢动漫，在更斗破苍穹，喜欢的可以关注一下，评论区禁止拉踩，看到会删的哦,5,我就想问一下，这个原神起名的规则到底是个啥，我原神账号从创立开始那个昵称一直用到现在，都一年多了，原神突然来个消息说我昵称违反规则，我真的很无语啊，都一年多了，我一直用的这个昵称
7664927,林子苏苏苏苏苏_,保密,0,盛夏白瓷梅子汤。,5,:loudly_crying_face:谁在抽菲米尼
20871126,你这瓜保熟吗O,保密,0,365全勤get+吃瓜乐子人,6,鸭头都出来了一只没有[大哭]
3493132891065253,快手B站最厉害,男,13,好好好,3,兄弟们我做的对吗
